Metric,FGSM_ART,DeepFool,C&W,PGD,JSMA,BIM
ERGAS,27.083559368363762,3544.499881158307,78.33692789923425,79.73966472329262,29.71896973835267,26.560325061470646
PSNR,22.509347346914353,2.52277099984684,13.407437712886363,13.52239833369337,23.56644605735933,22.556069188199505
SSIM,"(0.8848079638754658, 0.9435171935480058)","(-0.1325365508386382, -0.24131334060885118)","(0.631678073495558, 0.7061941979040148)","(0.6395775999279879, 0.7096411652025854)","(0.9277814821322304, 0.9348514528428601)","(0.895680639712742, 0.9455983589031106)"
SAM,0.27520102038446387,1.4004309589793495,0.7485766761473047,0.749325788722958,0.2368957636954658,0.27362447154298225
