Metric,FGSM_ART,DeepFool,C&W,PGD
ERGAS,27.083559368363762,3544.499881158307,78.33692789923425,79.73966472329262
PSNR,22.509347346914353,2.52277099984684,13.407437712886363,13.52239833369337
SSIM,"(0.8848079638754658, 0.9435171935480058)","(-0.1325365508386382, -0.24131334060885118)","(0.631678073495558, 0.7061941979040148)","(0.6395775999279879, 0.7096411652025854)"
SAM,0.27520102038446387,1.4004309589793495,0.7485766761473047,0.749325788722958
